Country,Total Deaths
Afghanistan,7945.0
Africa,259009.0
Albania,3604.0
Algeria,6881.0
American Samoa,34.0
Andorra,159.0
Angola,1934.0
Anguilla,12.0
Antigua and Barbuda,146.0
Argentina,130472.0
Armenia,8751.0
Aruba,292.0
Asia,1632724.0
Australia,22887.0
Austria,22534.0
Azerbaijan,10302.0
Bahamas,844.0
Bahrain,1536.0
Bangladesh,29477.0
Barbados,620.0
Belarus,7118.0
Belgium,34339.0
Belize,688.0
Benin,163.0
Bermuda,165.0
Bhutan,21.0
Bolivia,22399.0
Bonaire Sint Eustatius and Saba,41.0
Bosnia and Herzegovina,16352.0
Botswana,2800.0
Brazil,704659.0
British Virgin Islands,64.0
Brunei,163.0
Bulgaria,38403.0
Burkina Faso,396.0
Burundi,15.0
Cambodia,3056.0
Cameroon,1974.0
Canada,53147.0
Cape Verde,415.0
Cayman Islands,37.0
Central African Republic,113.0
Chad,194.0
Chile,64497.0
China,120896.0
Colombia,142942.0
Comoros,161.0
Congo,389.0
Cook Islands,2.0
Costa Rica,9428.0
Cote d'Ivoire,835.0
Croatia,18306.0
Cuba,8530.0
Curacao,305.0
Cyprus,1364.0
Czechia,42826.0
Democratic Republic of Congo,1468.0
Denmark,8799.0
Djibouti,189.0
Dominica,74.0
Dominican Republic,4384.0
Ecuador,36042.0
Egypt,24830.0
El Salvador,4230.0
England,
Equatorial Guinea,183.0
Eritrea,103.0
Estonia,2901.0
Eswatini,1427.0
Ethiopia,7574.0
Europe,2076573.0
European Union,1243728.0
Faeroe Islands,28.0
Falkland Islands,
Fiji,885.0
Finland,10185.0
France,167985.0
French Guiana,413.0
French Polynesia,649.0
Gabon,307.0
Gambia,372.0
Georgia,17132.0
Germany,174979.0
Ghana,1462.0
Gibraltar,113.0
Greece,37413.0
Greenland,21.0
Grenada,238.0
Guadeloupe,1021.0
Guam,416.0
Guatemala,20236.0
Guernsey,67.0
Guinea,468.0
Guinea-Bissau,177.0
Guyana,1299.0
Haiti,860.0
High income,2900852.0
Honduras,11127.0
Hong Kong,
Hungary,48803.0
Iceland,186.0
India,532027.0
Indonesia,161918.0
Iran,146336.0
Iraq,25375.0
Ireland,9200.0
Isle of Man,116.0
Israel,12651.0
Italy,191370.0
Jamaica,3600.0
Japan,74694.0
Jersey,161.0
Jordan,14122.0
Kazakhstan,19072.0
Kenya,5689.0
Kiribati,24.0
Kosovo,3210.0
Kuwait,2570.0
Kyrgyzstan,1024.0
Laos,671.0
Latvia,7378.0
Lebanon,10947.0
Lesotho,706.0
Liberia,294.0
Libya,6437.0
Liechtenstein,87.0
Lithuania,9703.0
Low income,47982.0
Lower middle income,1338947.0
Luxembourg,1000.0
Macao,
Madagascar,1425.0
Malawi,2686.0
Malaysia,37187.0
Maldives,316.0
Mali,743.0
Malta,877.0
Marshall Islands,17.0
Martinique,1104.0
Mauritania,997.0
Mauritius,1053.0
Mayotte,187.0
Mexico,334506.0
Micronesia (country),65.0
Moldova,12125.0
Monaco,67.0
Mongolia,2284.0
Montenegro,2654.0
Montserrat,8.0
Morocco,16297.0
Mozambique,2243.0
Myanmar,19494.0
Namibia,4098.0
Nauru,1.0
Nepal,12031.0
Netherlands,22986.0
New Caledonia,314.0
New Zealand,3294.0
Nicaragua,245.0
Niger,315.0
Nigeria,3155.0
Niue,
North America,1602995.0
North Korea,
North Macedonia,9941.0
Northern Cyprus,
Northern Ireland,
Northern Mariana Islands,41.0
Norway,5641.0
Oceania,29527.0
Oman,4628.0
Pakistan,30656.0
Palau,9.0
Palestine,5708.0
Panama,8652.0
Papua New Guinea,670.0
Paraguay,19967.0
Peru,221674.0
Philippines,66667.0
Pitcairn,
Poland,119642.0
Portugal,27247.0
Puerto Rico,5938.0
Qatar,690.0
Reunion,921.0
Romania,68296.0
Russia,399999.0
Rwanda,1468.0
Saint Barthelemy,5.0
Saint Helena,
Saint Kitts and Nevis,46.0
Saint Lucia,409.0
Saint Martin (French part),46.0
Saint Pierre and Miquelon,2.0
Saint Vincent and the Grenadines,124.0
Samoa,31.0
San Marino,126.0
Sao Tome and Principe,80.0
Saudi Arabia,9646.0
Scotland,
Senegal,1971.0
Serbia,18057.0
Seychelles,172.0
Sierra Leone,126.0
Singapore,1872.0
Sint Maarten (Dutch part),92.0
Slovakia,21167.0
Slovenia,9435.0
Solomon Islands,153.0
Somalia,1361.0
South Africa,102595.0
South America,1356370.0
South Korea,35934.0
South Sudan,138.0
Spain,121852.0
Sri Lanka,16882.0
Sudan,5046.0
Suriname,1408.0
Sweden,24738.0
Switzerland,14041.0
Syria,3163.0
Taiwan,
Tajikistan,125.0
Tanzania,846.0
Thailand,34468.0
Timor,138.0
Togo,290.0
Tokelau,
Tonga,12.0
Trinidad and Tobago,4390.0
Tunisia,29423.0
Turkey,101419.0
Turkmenistan,
Turks and Caicos Islands,39.0
Tuvalu,1.0
Uganda,3632.0
Ukraine,109904.0
United Arab Emirates,2349.0
United Kingdom,229089.0
United States of America,1127152.0
United States Virgin Islands,132.0
Upper middle income,2665470.0
Uruguay,7634.0
Uzbekistan,1016.0
Vanuatu,14.0
Vatican,
Venezuela,5856.0
Vietnam,43206.0
Wales,
Wallis and Futuna,8.0
Western Sahara,
World,6957203.0
Yemen,2159.0
Zambia,4069.0
Zimbabwe,5718.0
